foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
3.284e-05,2.561e-04,9.509e-05,2.816e-06,1.209e-04,1.407e-05,1.058e-05,2.927e-05
3.368e-05,2.568e-04,9.896e-05,3.219e-06,1.214e-04,1.121e-05,1.094e-05,2.706e-05
3.558e-05,2.582e-04,1.091e-04,5.245e-06,1.190e-04,1.097e-05,1.055e-05,2.736e-05
3.678e-05,2.592e-04,1.183e-04,7.570e-06,1.171e-04,9.775e-06,1.013e-05,2.730e-05
3.839e-05,2.606e-04,1.266e-04,9.924e-06,1.156e-04,9.775e-06,9.626e-06,2.784e-05
3.988e-05,2.627e-04,1.339e-04,1.192e-05,1.130e-04,9.298e-06,9.060e-06,2.778e-05
4.137e-05,2.642e-04,1.401e-04,1.436e-05,1.121e-04,8.345e-06,8.702e-06,2.819e-05
4.292e-05,2.673e-04,1.454e-04,1.638e-05,1.097e-04,8.106e-06,8.255e-06,2.849e-05
4.429e-05,2.687e-04,1.498e-04,1.872e-05,1.078e-04,7.153e-06,7.719e-06,2.867e-05
4.572e-05,2.718e-04,1.532e-04,2.076e-05,1.063e-04,6.676e-06,7.361e-06,2.903e-05
4.727e-05,2.744e-04,1.559e-04,2.293e-05,1.049e-04,5.960e-06,6.676e-06,2.915e-05
4.822e-05,2.766e-04,1.576e-04,2.493e-05,1.035e-04,4.530e-06,6.258e-06,2.962e-05
4.965e-05,2.804e-04,1.585e-04,2.691e-05,1.006e-04,3.815e-06,5.603e-06,2.992e-05
5.102e-05,2.835e-04,1.587e-04,2.928e-05,9.990e-05,3.576e-06,5.364e-06,3.004e-05
5.221e-05,2.882e-04,1.581e-04,3.122e-05,9.823e-05,2.623e-06,4.768e-06,3.040e-05
5.364e-05,2.913e-04,1.568e-04,3.290e-05,9.727e-05,1.907e-06,4.202e-06,3.088e-05
5.490e-05,2.956e-04,1.545e-04,3.508e-05,9.561e-05,4.768e-07,3.695e-06,3.135e-05
5.603e-05,2.995e-04,1.515e-04,3.694e-05,9.370e-05,0.000e+00,3.248e-06,3.147e-05
5.704e-05,3.040e-04,1.479e-04,3.897e-05,9.346e-05,1.192e-06,2.593e-06,3.201e-05
5.847e-05,3.088e-04,1.436e-04,4.067e-05,9.203e-05,2.861e-06,2.325e-06,3.213e-05
5.943e-05,3.135e-04,1.385e-04,4.245e-05,9.036e-05,3.338e-06,1.758e-06,3.266e-05
6.086e-05,3.192e-04,1.327e-04,4.436e-05,8.988e-05,4.053e-06,1.252e-06,3.296e-05
6.187e-05,3.247e-04,1.261e-04,4.619e-05,8.917e-05,5.484e-06,6.855e-07,3.344e-05
6.276e-05,3.302e-04,1.189e-04,4.780e-05,8.726e-05,6.199e-06,2.086e-07,3.374e-05
6.413e-05,3.359e-04,1.109e-04,4.955e-05,8.631e-05,7.629e-06,2.980e-07,3.439e-05
6.521e-05,3.424e-04,1.021e-04,5.127e-05,8.559e-05,8.821e-06,6.557e-07,3.463e-05
6.610e-05,3.481e-04,9.250e-05,5.287e-05,8.464e-05,9.298e-06,1.132e-06,3.505e-05
6.741e-05,3.545e-04,8.182e-05,5.451e-05,8.392e-05,1.121e-05,1.758e-06,3.535e-05
6.813e-05,3.614e-04,7.050e-05,5.624e-05,8.321e-05,1.240e-05,2.116e-06,3.606e-05
6.372e-05,3.686e-04,5.796e-05,4.965e-05,8.535e-05,2.527e-05,3.725e-06,3.374e-05
6.342e-05,3.676e-04,6.250e-05,5.300e-05,7.772e-05,2.694e-05,4.411e-06,3.326e-05
6.026e-05,3.672e-04,6.750e-05,6.379e-05,7.629e-05,3.529e-05,1.255e-05,2.027e-05
5.996e-05,3.581e-04,7.997e-05,6.633e-05,7.391e-05,3.505e-05,1.308e-05,2.110e-05
5.978e-05,3.500e-04,9.053e-05,6.847e-05,7.367e-05,3.576e-05,1.362e-05,2.187e-05
5.960e-05,3.433e-04,9.957e-05,7.086e-05,7.176e-05,3.600e-05,1.389e-05,2.259e-05
5.966e-05,3.371e-04,1.073e-04,7.252e-05,7.081e-05,3.648e-05,1.416e-05,2.331e-05
5.949e-05,3.319e-04,1.136e-04,7.460e-05,7.105e-05,3.648e-05,1.457e-05,2.420e-05
5.913e-05,3.276e-04,1.189e-04,7.661e-05,7.010e-05,3.648e-05,1.502e-05,2.527e-05
5.877e-05,3.235e-04,1.231e-04,7.820e-05,6.986e-05,3.648e-05,1.559e-05,2.575e-05
5.895e-05,3.200e-04,1.265e-04,8.012e-05,6.866e-05,3.719e-05,1.577e-05,2.670e-05
5.865e-05,3.166e-04,1.289e-04,8.157e-05,6.962e-05,3.791e-05,1.606e-05,2.778e-05
5.889e-05,3.145e-04,1.307e-04,8.324e-05,6.890e-05,3.719e-05,1.642e-05,2.843e-05
5.877e-05,3.126e-04,1.316e-04,8.498e-05,6.914e-05,3.767e-05,1.684e-05,2.956e-05
5.853e-05,3.099e-04,1.320e-04,8.629e-05,6.843e-05,3.839e-05,1.729e-05,3.028e-05
5.841e-05,3.088e-04,1.316e-04,8.790e-05,6.962e-05,3.862e-05,1.752e-05,3.147e-05
5.835e-05,3.078e-04,1.307e-04,8.933e-05,6.890e-05,3.958e-05,1.809e-05,3.219e-05
5.811e-05,3.064e-04,1.292e-04,9.064e-05,6.890e-05,3.958e-05,1.833e-05,3.302e-05
5.788e-05,3.059e-04,1.273e-04,9.233e-05,6.962e-05,3.982e-05,1.872e-05,3.397e-05
5.794e-05,3.047e-04,1.248e-04,9.359e-05,6.890e-05,4.029e-05,1.907e-05,3.493e-05
5.776e-05,3.052e-04,1.219e-04,9.497e-05,6.986e-05,4.077e-05,1.943e-05,3.600e-05
5.746e-05,3.047e-04,1.183e-04,9.632e-05,7.010e-05,4.125e-05,1.982e-05,3.678e-05
5.752e-05,3.049e-04,1.142e-04,9.750e-05,7.033e-05,4.220e-05,2.030e-05,3.785e-05
5.740e-05,3.061e-04,1.098e-04,9.887e-05,7.057e-05,4.220e-05,2.056e-05,3.874e-05
5.716e-05,3.064e-04,1.046e-04,1.002e-04,7.153e-05,4.268e-05,2.092e-05,3.988e-05
5.698e-05,3.076e-04,9.909e-05,1.014e-04,7.176e-05,4.387e-05,2.134e-05,4.035e-05
5.591e-05,3.095e-04,9.272e-05,1.028e-04,6.056e-05,4.053e-05,2.137e-05,4.345e-05
5.466e-05,3.085e-04,8.363e-05,1.040e-04,5.746e-05,3.862e-05,2.199e-05,4.518e-05
5.406e-05,3.068e-04,7.297e-05,1.055e-04,5.937e-05,3.910e-05,2.226e-05,4.590e-05
5.364e-05,3.054e-04,6.092e-05,1.065e-04,6.127e-05,3.862e-05,2.238e-05,4.679e-05
5.394e-05,3.049e-04,4.796e-05,1.076e-04,6.294e-05,3.886e-05,2.304e-05,4.780e-05
5.299e-05,3.040e-04,3.350e-05,1.089e-04,6.509e-05,3.862e-05,2.351e-05,4.870e-05
5.275e-05,3.045e-04,1.772e-05,1.101e-04,6.747e-05,3.862e-05,2.354e-05,4.965e-05
5.257e-05,3.045e-04,2.979e-07,1.110e-04,6.914e-05,3.862e-05,2.414e-05,5.054e-05
5.221e-05,3.049e-04,0.000e+00,1.122e-04,7.153e-05,3.886e-05,2.471e-05,5.144e-05
5.168e-05,3.054e-04,0.000e+00,1.133e-04,7.343e-05,3.886e-05,2.462e-05,5.245e-05
5.138e-05,3.061e-04,2.910e-11,1.143e-04,7.534e-05,3.886e-05,2.515e-05,5.341e-05
5.096e-05,3.066e-04,0.000e+00,1.153e-04,7.772e-05,3.886e-05,2.551e-05,5.436e-05
5.049e-05,3.078e-04,0.000e+00,1.162e-04,7.963e-05,3.910e-05,2.593e-05,5.531e-05
5.037e-05,3.099e-04,0.000e+00,1.173e-04,8.178e-05,3.910e-05,2.626e-05,5.639e-05
5.001e-05,3.111e-04,2.910e-11,1.180e-04,8.464e-05,3.934e-05,2.643e-05,5.728e-05
4.995e-05,3.133e-04,0.000e+00,1.186e-04,8.583e-05,3.862e-05,2.649e-05,5.805e-05
5.001e-05,3.145e-04,0.000e+00,1.194e-04,8.774e-05,3.886e-05,2.694e-05,5.877e-05
4.947e-05,3.161e-04,0.000e+00,1.204e-04,8.845e-05,3.839e-05,2.688e-05,5.960e-05
4.888e-05,3.181e-04,0.000e+00,1.211e-04,8.941e-05,3.862e-05,2.727e-05,6.026e-05
5.251e-05,3.197e-04,1.455e-11,1.186e-04,8.225e-05,3.386e-05,2.536e-05,5.627e-05
5.120e-05,3.200e-04,0.000e+00,1.205e-04,7.963e-05,3.314e-05,2.581e-05,5.686e-05
4.947e-05,3.214e-04,1.455e-11,1.225e-04,7.868e-05,3.314e-05,2.578e-05,5.740e-05
5.168e-05,3.240e-04,1.455e-11,1.244e-04,7.606e-05,3.028e-05,2.593e-05,5.794e-05
5.025e-05,3.254e-04,0.000e+00,1.261e-04,7.510e-05,3.052e-05,2.652e-05,5.871e-05
4.822e-05,3.257e-04,1.455e-11,1.279e-04,7.439e-05,3.123e-05,2.712e-05,5.960e-05
4.661e-05,3.283e-04,0.000e+00,1.291e-04,7.534e-05,3.219e-05,2.736e-05,6.050e-05
4.500e-05,3.312e-04,0.000e+00,1.308e-04,7.653e-05,3.242e-05,2.801e-05,6.115e-05
4.500e-05,3.347e-04,0.000e+00,1.312e-04,7.463e-05,3.028e-05,2.760e-05,6.127e-05
4.363e-05,3.378e-04,0.000e+00,1.327e-04,7.415e-05,3.076e-05,2.763e-05,6.175e-05
4.154e-05,3.405e-04,0.000e+00,1.338e-04,7.510e-05,3.171e-05,2.834e-05,6.282e-05
3.934e-05,3.450e-04,1.455e-11,1.352e-04,7.558e-05,3.242e-05,2.867e-05,6.366e-05
3.713e-05,3.490e-04,0.000e+00,1.363e-04,7.629e-05,3.362e-05,2.912e-05,6.473e-05
3.535e-05,3.541e-04,0.000e+00,1.372e-04,7.725e-05,3.433e-05,2.939e-05,6.562e-05
3.278e-05,3.600e-04,0.000e+00,1.383e-04,7.844e-05,3.481e-05,2.986e-05,6.658e-05
3.123e-05,3.655e-04,1.455e-11,1.390e-04,7.987e-05,3.600e-05,3.022e-05,6.753e-05
2.933e-05,3.715e-04,0.000e+00,1.399e-04,8.178e-05,3.624e-05,3.073e-05,6.843e-05
2.724e-05,3.784e-04,0.000e+00,1.411e-04,8.202e-05,3.767e-05,3.099e-05,6.950e-05
2.557e-05,3.860e-04,0.000e+00,1.415e-04,8.416e-05,3.839e-05,3.150e-05,7.039e-05
2.360e-05,3.922e-04,0.000e+00,1.423e-04,8.535e-05,3.910e-05,3.189e-05,7.117e-05
2.170e-05,3.991e-04,0.000e+00,1.430e-04,8.655e-05,3.982e-05,3.231e-05,7.236e-05
1.979e-05,4.067e-04,0.000e+00,1.438e-04,8.798e-05,4.101e-05,3.242e-05,7.337e-05
5.090e-05,2.623e-04,9.739e-05,1.586e-05,9.012e-05,8.225e-06,3.129e-06,1.937e-06
2.861e-06,1.743e-04,5.424e-06,1.999e-05,1.414e-04,1.550e-05,2.277e-05,3.630e-05
5.889e-05,1.388e-04,1.001e-05,3.353e-06,7.534e-05,2.122e-05,2.459e-05,3.785e-06
7.331e-05,1.650e-04,6.849e-05,9.020e-05,2.298e-04,8.583e-06,1.270e-05,4.858e-05
8.941e-06,3.066e-04,5.198e-05,1.860e-05,7.582e-05,7.677e-05,1.609e-05,1.761e-05
2.078e-04,3.004e-05,2.456e-05,2.192e-05,3.035e-04,1.695e-04,2.772e-06,3.040e-05
1.276e-04,2.384e-04,4.101e-05,7.796e-05,9.477e-05,4.172e-06,9.558e-05,8.196e-06
2.056e-04,3.061e-04,5.662e-05,1.016e-04,9.000e-05,7.582e-05,9.423e-05,2.229e-05
1.385e-04,1.597e-05,9.006e-05,4.195e-05,3.320e-04,1.084e-04,1.779e-05,9.742e-05
1.256e-04,6.747e-05,9.471e-05,1.542e-05,2.123e-04,6.533e-05,1.236e-04,9.638e-05
4.208e-05,1.285e-04,7.987e-05,1.922e-05,3.779e-05,1.247e-04,2.742e-05,5.257e-05
1.110e-04,1.669e-04,8.070e-05,5.620e-05,1.776e-04,4.053e-06,1.255e-05,1.341e-06
1.264e-04,3.123e-05,8.482e-05,1.150e-04,1.644e-04,5.567e-05,3.353e-05,7.349e-05
1.346e-04,4.721e-05,9.561e-05,1.440e-04,1.276e-04,1.020e-04,3.128e-05,7.859e-05
1.971e-04,1.001e-05,1.081e-04,9.947e-05,2.232e-04,2.837e-05,4.512e-05,7.600e-06
3.994e-05,1.051e-04,1.051e-04,1.455e-04,1.535e-04,3.898e-05,1.134e-05,3.922e-05
4.661e-05,4.649e-05,9.269e-05,5.465e-05,1.619e-04,9.954e-05,4.372e-05,3.418e-05
5.043e-05,1.931e-05,8.160e-05,1.181e-04,1.906e-04,3.672e-05,2.025e-05,5.215e-06
3.338e-06,8.178e-05,6.449e-05,5.321e-05,1.514e-04,9.120e-05,2.302e-05,1.973e-05
6.318e-05,2.074e-05,4.822e-05,1.008e-04,2.177e-04,6.413e-05,3.786e-05,5.007e-06
1.550e-05,1.154e-04,3.457e-05,6.296e-05,1.711e-04,1.943e-05,2.399e-05,5.931e-05
2.527e-05,1.435e-04,3.326e-05,1.050e-04,2.073e-04,5.543e-05,5.639e-05,8.851e-06
3.016e-05,7.463e-05,3.600e-05,8.526e-05,1.866e-04,1.454e-05,4.822e-05,1.666e-05
6.032e-05,4.673e-05,3.755e-05,1.525e-04,1.709e-04,1.085e-05,2.863e-05,6.360e-05
9.298e-05,4.888e-05,4.011e-05,1.457e-04,2.187e-04,4.530e-06,2.205e-06,3.085e-05
9.286e-05,7.415e-05,3.690e-05,1.068e-04,1.934e-04,4.852e-05,5.402e-05,1.359e-05
7.987e-05,1.221e-04,2.992e-05,4.791e-05,1.520e-04,1.705e-05,2.156e-05,2.557e-05
8.094e-05,7.367e-05,2.241e-05,7.673e-05,1.528e-04,4.888e-06,3.776e-05,1.010e-05
7.355e-05,3.362e-05,1.514e-05,9.020e-05,1.472e-04,1.776e-05,4.432e-05,4.444e-05
8.690e-05,1.264e-05,7.391e-06,9.843e-05,1.690e-04,2.599e-05,3.099e-06,8.085e-05
6.092e-05,3.338e-05,1.788e-07,9.762e-05,1.173e-04,5.007e-05,2.326e-05,5.859e-05
4.077e-05,6.580e-05,8.821e-06,1.126e-04,1.372e-04,6.115e-05,3.208e-05,5.955e-05
1.562e-05,9.322e-05,2.360e-05,1.250e-04,1.453e-04,5.651e-05,3.275e-05,5.728e-05
4.184e-05,1.085e-04,4.327e-05,1.056e-04,1.249e-04,2.599e-05,2.900e-05,7.448e-05
6.604e-05,1.104e-04,6.706e-05,1.442e-04,1.541e-04,3.731e-05,4.470e-05,1.132e-06
5.651e-05,1.287e-04,7.957e-05,2.185e-04,1.705e-04,3.695e-06,2.366e-05,9.060e-06
7.665e-05,9.513e-05,9.060e-05,1.481e-04,1.701e-04,1.729e-05,2.097e-05,1.255e-05
3.445e-05,6.557e-05,9.549e-05,1.369e-04,1.769e-04,9.537e-07,2.973e-05,1.970e-05
1.872e-05,2.027e-05,9.739e-05,1.321e-04,2.171e-04,5.507e-05,4.666e-05,7.033e-05
4.041e-05,3.552e-05,9.412e-05,1.080e-04,1.601e-04,3.099e-05,5.448e-05,3.728e-05
6.676e-05,4.292e-06,9.030e-05,8.762e-05,7.284e-05,1.633e-05,2.664e-05,4.199e-05
6.723e-05,8.225e-05,8.571e-05,7.788e-05,2.730e-05,6.282e-05,1.121e-05,2.989e-05
7.081e-05,1.397e-04,8.076e-05,3.064e-05,1.278e-04,4.208e-05,2.542e-05,2.319e-05
1.538e-05,1.314e-04,6.598e-05,5.309e-05,3.264e-04,1.286e-04,4.110e-05,5.811e-06
8.464e-06,9.680e-05,4.447e-05,2.645e-05,2.196e-04,6.437e-06,8.720e-05,5.636e-05
3.922e-05,6.175e-05,2.062e-05,6.977e-05,2.295e-04,4.530e-06,7.266e-05,1.609e-06
1.287e-05,7.081e-05,2.921e-06,5.776e-05,1.403e-04,3.254e-05,7.364e-05,6.765e-06
2.050e-05,6.771e-05,1.156e-05,3.266e-05,8.094e-05,5.460e-05,6.104e-05,4.351e-06
6.080e-06,3.958e-05,2.074e-05,2.424e-05,2.180e-04,7.153e-06,1.779e-05,1.407e-05
2.623e-06,2.599e-05,2.891e-05,4.648e-05,2.701e-04,2.074e-05,6.247e-05,1.562e-05
3.457e-05,3.576e-06,3.490e-05,4.388e-05,2.303e-04,3.695e-06,4.610e-05,6.676e-06
2.861e-05,2.527e-05,3.734e-05,5.974e-05,2.677e-04,3.409e-05,6.437e-06,2.006e-05
3.111e-05,2.861e-06,3.797e-05,3.649e-05,2.512e-04,6.604e-05,3.943e-05,1.445e-05
1.454e-05,6.604e-05,3.701e-05,3.024e-05,1.866e-04,8.047e-05,3.129e-05,1.302e-05
2.372e-05,1.147e-04,3.225e-05,2.123e-05,1.334e-04,8.583e-05,2.789e-05,4.292e-06
2.289e-05,1.550e-04,2.417e-05,6.995e-05,1.800e-04,2.146e-05,3.615e-05,2.304e-05
6.318e-05,1.311e-04,2.426e-05,9.843e-05,1.937e-04,1.788e-06,5.439e-05,4.205e-05
3.374e-05,6.223e-05,3.284e-05,7.982e-05,1.825e-04,3.421e-05,4.101e-05,4.262e-06
2.074e-05,3.695e-05,4.479e-05,4.586e-05,1.998e-04,1.028e-04,2.134e-05,3.532e-05
1.669e-05,7.081e-05,5.645e-05,3.725e-08,2.120e-04,1.160e-04,5.007e-06,4.390e-05
3.219e-05,6.771e-05,6.753e-05,1.201e-05,1.795e-04,8.798e-05,4.590e-06,4.363e-05
1.228e-05,5.484e-05,7.343e-05,3.929e-05,1.733e-04,8.070e-05,4.488e-05,4.208e-05
1.466e-05,7.153e-05,7.519e-05,2.557e-05,1.450e-04,9.429e-05,3.374e-05,5.290e-05
1.132e-05,1.035e-04,7.471e-05,2.728e-05,1.010e-04,7.391e-05,3.731e-05,5.278e-05
1.681e-05,1.318e-04,6.875e-05,3.859e-05,1.329e-04,3.743e-05,1.782e-05,2.441e-05
3.421e-05,1.266e-04,6.261e-05,1.726e-05,1.445e-04,7.153e-07,5.051e-05,7.311e-05
5.341e-05,1.092e-04,5.889e-05,6.046e-05,1.692e-04,3.362e-05,2.199e-05,6.557e-07
5.293e-05,9.894e-05,5.859e-05,6.122e-05,1.879e-04,5.186e-05,3.493e-05,6.661e-05
3.278e-05,9.084e-05,5.794e-05,3.799e-05,1.934e-04,3.505e-05,2.480e-05,7.361e-05
1.335e-05,7.439e-05,5.043e-05,1.642e-05,1.959e-04,1.824e-05,1.457e-05,7.960e-05
1.192e-07,4.840e-05,3.597e-05,9.969e-06,2.105e-04,1.192e-05,2.158e-05,5.671e-05
8.345e-06,4.888e-05,1.490e-05,3.140e-05,2.413e-04,2.933e-05,1.243e-05,2.623e-06
7.093e-05,6.533e-05,6.080e-06,6.694e-05,1.957e-04,9.000e-05,1.006e-04,1.228e-04
1.392e-04,3.147e-05,1.535e-05,4.331e-05,2.422e-04,2.885e-05,8.434e-05,7.477e-05
1.031e-04,4.768e-06,3.093e-05,1.537e-05,2.441e-04,5.186e-05,1.043e-05,6.637e-05
1.121e-04,3.791e-05,4.551e-05,5.480e-05,1.559e-04,6.413e-05,5.034e-05,1.484e-05
1.030e-04,9.251e-05,6.531e-05,6.951e-05,1.149e-04,6.473e-05,6.217e-05,5.692e-06
1.041e-04,1.342e-04,7.826e-05,2.389e-05,1.004e-04,4.351e-05,6.771e-05,2.691e-05
7.689e-05,1.214e-04,9.112e-05,5.146e-05,8.941e-05,5.627e-05,4.393e-05,2.778e-05
4.387e-05,8.845e-05,1.130e-04,4.719e-05,7.153e-05,4.160e-05,2.959e-05,7.683e-05
1.169e-04,5.031e-05,1.334e-04,3.587e-05,9.513e-05,8.595e-05,4.178e-05,7.176e-05
1.385e-04,3.576e-05,1.987e-04,2.605e-05,1.347e-04,6.592e-05,3.025e-05,8.136e-06
1.255e-04,1.311e-05,2.634e-04,2.280e-06,1.829e-04,2.563e-05,1.389e-05,1.541e-05
1.128e-04,2.146e-05,3.179e-04,2.822e-05,2.275e-04,1.442e-05,2.325e-06,2.152e-05
1.311e-04,6.914e-05,3.617e-04,9.720e-05,1.979e-04,5.126e-05,9.388e-06,8.783e-05
1.740e-04,1.168e-04,3.990e-04,1.074e-04,2.160e-04,7.081e-05,1.705e-05,8.118e-05
1.608e-04,1.438e-04,4.382e-04,1.442e-04,1.717e-04,4.292e-06,3.338e-05,3.773e-05
1.607e-04,1.237e-04,4.420e-04,1.716e-04,1.178e-04,3.862e-05,1.732e-05,5.659e-05
1.122e-04,1.140e-04,4.132e-04,1.793e-04,1.426e-04,1.740e-05,1.541e-05,3.284e-05
8.070e-05,8.631e-05,3.501e-04,1.855e-04,1.421e-04,3.624e-05,2.339e-05,5.513e-06
7.772e-05,4.530e-05,2.577e-04,2.026e-04,9.370e-05,1.243e-04,1.460e-06,1.481e-05
8.237e-05,1.907e-06,1.419e-04,2.093e-04,8.178e-05,1.192e-04,1.675e-05,2.170e-05
5.949e-05,4.959e-05,3.655e-06,2.406e-04,1.061e-04,1.097e-04,2.921e-06,7.811e-05
6.127e-05,4.768e-06,1.616e-04,2.398e-04,1.431e-05,2.037e-04,1.249e-05,5.031e-05
5.460e-05,6.342e-05,3.421e-04,2.807e-04,1.526e-05,1.535e-04,9.567e-06,2.453e-05
5.150e-05,1.643e-04,5.490e-04,3.356e-04,2.861e-06,9.954e-05,6.467e-06,3.430e-05
3.576e-07,1.698e-04,7.821e-04,3.136e-04,4.268e-05,7.963e-05,3.478e-05,8.196e-06
1.556e-04,1.624e-04,1.011e-03,3.462e-04,4.244e-05,1.788e-05,4.411e-06,4.977e-05
4.494e-05,2.873e-04,8.556e-04,3.932e-05,3.183e-04,1.545e-04,4.926e-05,1.603e-05
5.209e-05,3.510e-04,2.041e-04,7.592e-05,2.725e-04,1.100e-04,5.934e-05,2.277e-05
1.369e-04,3.443e-04,0.000e+00,1.426e-04,3.464e-04,1.113e-04,3.585e-05,9.891e-05
1.572e-04,3.846e-04,2.328e-10,1.448e-04,3.307e-04,8.821e-05,3.079e-05,1.153e-04
1.602e-04,4.325e-04,0.000e+00,1.335e-04,2.837e-04,5.972e-05,3.037e-05,1.028e-04
2.005e-04,4.792e-04,0.000e+00,1.327e-04,2.582e-04,5.996e-05,2.369e-05,9.319e-05
1.110e-04,5.751e-04,0.000e+00,1.179e-04,2.315e-04,7.653e-05,1.875e-05,7.614e-05
3.803e-05,6.034e-04,0.000e+00,1.063e-04,2.077e-04,1.163e-04,1.040e-05,5.582e-05
1.359e-05,5.231e-04,0.000e+00,1.475e-04,2.315e-04,1.097e-04,1.764e-05,5.338e-05
2.956e-05,4.373e-04,4.657e-10,1.291e-04,2.167e-04,1.638e-04,3.451e-05,6.834e-05
3.588e-05,3.815e-04,0.000e+00,1.629e-04,2.027e-04,1.746e-04,3.976e-05,4.593e-05
4.566e-05,3.433e-04,0.000e+00,1.995e-04,2.282e-04,1.979e-04,4.861e-05,2.348e-05
5.126e-05,3.271e-04,0.000e+00,1.895e-04,2.065e-04,1.715e-04,4.464e-05,1.860e-05
5.639e-05,3.138e-04,9.313e-10,1.805e-04,1.833e-04,1.458e-04,4.110e-05,1.332e-05
5.698e-05,3.042e-04,0.000e+00,1.844e-04,1.810e-04,1.228e-04,4.625e-05,5.037e-06
6.282e-05,2.975e-04,0.000e+00,1.730e-04,1.652e-04,9.966e-05,4.211e-05,1.699e-06
6.878e-05,2.954e-04,9.313e-10,1.618e-04,1.500e-04,7.749e-05,3.785e-05,1.431e-06
7.498e-05,2.975e-04,0.000e+00,1.510e-04,1.333e-04,5.579e-05,3.383e-05,4.381e-06
8.047e-05,3.035e-04,0.000e+00,1.408e-04,1.166e-04,3.552e-05,2.980e-05,7.391e-06
7.439e-05,3.140e-04,0.000e+00,1.340e-04,1.123e-04,2.050e-05,3.648e-05,4.053e-06
5.078e-05,3.281e-04,0.000e+00,1.328e-04,1.268e-04,1.454e-05,5.916e-05,3.853e-05
6.080e-05,3.436e-04,4.742e-05,1.205e-04,1.173e-04,2.861e-06,5.448e-05,3.588e-05
7.033e-05,3.605e-04,9.362e-05,1.089e-04,1.080e-04,1.895e-05,5.034e-05,3.341e-05
7.975e-05,3.812e-04,1.292e-04,9.774e-05,9.775e-05,3.517e-05,4.569e-05,3.076e-05
8.905e-05,4.039e-04,1.547e-04,8.665e-05,8.774e-05,5.007e-05,4.122e-05,2.810e-05
9.584e-05,4.296e-04,1.708e-04,7.640e-05,8.130e-05,6.092e-05,3.740e-05,3.156e-05
1.023e-04,4.597e-04,1.785e-04,6.647e-05,7.510e-05,7.069e-05,3.392e-05,3.508e-05
1.116e-04,4.928e-04,1.793e-04,5.612e-05,6.604e-05,8.357e-05,2.953e-05,3.240e-05
1.340e-04,5.286e-04,1.727e-04,2.776e-05,8.488e-05,3.648e-05,1.845e-05,2.813e-05
1.045e-04,4.809e-04,1.767e-04,2.767e-05,1.247e-04,9.179e-06,2.509e-05,3.079e-05
9.406e-05,4.387e-04,1.735e-04,2.490e-05,1.142e-04,1.919e-05,2.289e-05,2.676e-05
8.881e-05,4.098e-04,1.548e-04,2.012e-05,9.584e-05,3.314e-05,1.845e-05,2.196e-05
8.047e-05,3.893e-04,1.218e-04,4.247e-05,1.271e-04,4.053e-06,3.880e-05,1.639e-05
7.713e-05,3.958e-04,1.030e-04,3.974e-05,1.526e-04,8.464e-06,4.441e-05,1.526e-05
3.433e-05,4.144e-04,8.746e-05,7.421e-06,1.268e-04,2.122e-05,3.329e-05,8.941e-08
1.037e-05,4.265e-04,8.515e-05,3.503e-05,9.131e-05,4.554e-05,2.521e-05,1.147e-05
3.219e-06,4.334e-04,9.203e-05,3.587e-05,1.001e-04,3.028e-05,6.318e-06,2.772e-06
3.934e-06,4.244e-04,9.512e-05,3.701e-05,8.440e-05,4.077e-05,2.682e-07,2.891e-06
1.609e-06,4.144e-04,9.548e-05,3.870e-05,6.104e-05,5.746e-05,2.623e-06,4.768e-07
2.325e-06,4.065e-04,9.269e-05,4.381e-05,6.366e-05,4.494e-05,1.028e-05,5.960e-07
7.451e-06,4.089e-04,8.344e-05,5.005e-05,7.463e-05,1.895e-05,2.003e-05,1.132e-06
7.331e-06,4.213e-04,6.219e-05,5.017e-05,4.816e-05,3.445e-05,2.024e-05,1.150e-05
3.010e-05,4.246e-04,1.978e-05,3.335e-05,5.341e-05,3.803e-05,2.030e-05,1.106e-05
4.029e-05,4.094e-04,1.863e-09,3.004e-05,4.482e-05,4.983e-05,2.158e-05,1.192e-05
3.666e-05,3.905e-04,0.000e+00,3.304e-05,2.933e-05,6.497e-05,2.363e-05,1.392e-05
1.585e-05,3.731e-04,0.000e+00,3.688e-05,3.719e-05,6.938e-05,3.207e-05,8.643e-07
3.839e-05,3.641e-04,0.000e+00,2.839e-05,8.583e-05,4.733e-05,1.130e-05,2.640e-05
6.014e-05,3.614e-04,0.000e+00,2.384e-05,1.173e-04,3.433e-05,7.749e-06,4.068e-05
5.251e-05,3.595e-04,1.863e-09,3.070e-05,1.099e-04,4.554e-05,5.364e-06,3.964e-05
4.447e-05,3.576e-04,1.863e-09,3.724e-05,1.030e-04,5.639e-05,3.070e-06,3.824e-05
3.719e-05,3.555e-04,1.863e-09,4.357e-05,9.537e-05,6.628e-05,6.855e-07,3.672e-05
2.956e-05,3.536e-04,0.000e+00,4.947e-05,8.702e-05,7.582e-05,1.520e-06,3.538e-05
2.068e-05,3.526e-04,1.863e-09,5.880e-05,1.235e-04,5.651e-05,7.272e-06,4.321e-05
1.395e-05,3.471e-04,0.000e+00,6.540e-05,1.359e-04,4.780e-05,1.147e-05,4.649e-05
